arm,offset_deg,min_gap_deg,success_rate,survival_rate,mean_reward,mean_steps_alive,mean_final_drift
2,-42.5,17.5,0.0,0.0,3.8741111904382706,390.0,nan
2,-40.0,20.0,0.0,0.0,4.070572995580733,409.0,nan
2,-37.5,22.5,0.0,0.0,4.272319785319269,428.0,nan
2,-35.0,25.0,0.0,0.0,4.502643009182066,450.0,nan
2,-32.5,27.5,0.0,0.0,4.747899290639907,473.0,nan
2,-30.0,30.0,0.0,0.0,5.024391212966293,499.0,nan
2,-27.5,32.5,0.0,0.0,5.333711882121861,528.0,nan
2,-25.0,35.0,0.0,0.0,5.678190197329968,560.0,nan
2,-22.5,37.5,0.0,0.0,6.067993222735822,596.0,nan
2,-20.0,40.0,0.0,1.0,6.227815679740161,600.0,2.7223131822678712
2,-17.5,42.5,0.0,1.0,6.367462328635156,600.0,2.368301139358542
2,-15.0,45.0,0.0,1.0,6.510744414292276,600.0,2.017058562578997
2,-12.5,47.5,0.0,1.0,6.655415488407016,600.0,1.6676507148360888
2,-10.0,50.0,0.0,1.0,6.796325451694429,600.0,1.31922140858194
2,-7.5,52.5,0.0,1.0,6.921982571482658,600.0,0.9711139949675383
2,-5.0,55.0,0.0,1.0,7.044005095027387,600.0,0.6233927056669949
2,-2.5,57.5,1.0,1.0,7.179679780267179,600.0,0.2812337944337004
2,0.0,60.0,1.0,1.0,7.193688476458192,600.0,0.13798916530077668
2,2.5,57.5,1.0,1.0,6.9748809132725,600.0,0.46387705217595565
2,5.0,55.0,0.0,1.0,6.7634735917672515,600.0,0.8221018582852547
2,7.5,52.5,0.0,1.0,6.567887771874666,600.0,1.187537666718038
2,10.0,50.0,0.0,1.0,6.387255324982107,600.0,1.5580275400805659
2,12.5,47.5,0.0,1.0,6.220287428237498,600.0,1.9327165827661135
2,15.0,45.0,0.0,1.0,6.065760460682213,600.0,2.310780283258115
2,17.5,42.5,0.0,1.0,5.9225831921212375,600.0,2.691233428966542
2,20.0,40.0,0.0,1.0,5.789786307141185,600.0,3.072885594867692
2,22.5,37.5,0.0,0.0,5.55735701834783,582.0,nan
2,25.0,35.0,0.0,0.0,5.264526854734868,553.0,nan
2,27.5,32.5,0.0,0.0,5.01836225669831,529.0,nan
2,30.0,30.0,0.0,0.0,4.796540998853743,507.0,nan
2,32.5,27.5,0.0,0.0,4.609763132408261,489.0,nan
2,35.0,25.0,0.0,0.0,4.443511622026563,473.0,nan
2,37.5,22.5,0.0,0.0,4.290115516632795,458.0,nan
2,40.0,20.0,0.0,0.0,4.161186910700053,446.0,nan
2,42.5,17.5,0.0,0.0,4.043209574185312,435.0,nan
2,45.0,15.0,0.0,0.0,3.9354566601105034,425.0,nan
3,-45.0,15.0,0.0,0.0,4.784993051551282,553.0,nan
3,-42.5,17.5,0.0,1.0,5.19492863304913,600.0,5.654015159352508
3,-40.0,20.0,0.0,1.0,5.329511014278978,600.0,5.065371947473454
3,-37.5,22.5,0.0,1.0,5.468095082323998,600.0,4.5179984196233125
3,-35.0,25.0,0.0,1.0,5.610511092469096,600.0,4.010661808582069
3,-32.5,27.5,0.0,1.0,5.756431930232793,600.0,3.542293715327023
3,-30.0,30.0,0.0,1.0,5.905416368506849,600.0,3.1118780700796767
3,-27.5,32.5,0.0,1.0,6.052553339861333,600.0,2.7182209387236616
3,-25.0,35.0,0.0,1.0,6.19209651555866,600.0,2.359800370735848
3,-22.5,37.5,0.0,1.0,6.316274181008339,600.0,2.0345869011683817
3,-20.0,40.0,0.0,1.0,6.4041999857872725,600.0,1.739924941396696
3,-17.5,42.5,0.0,1.0,6.4907602136954665,600.0,1.4724858909019705
3,-15.0,45.0,0.0,1.0,6.583752518519759,600.0,1.2282724922771133
3,-12.5,47.5,0.0,1.0,6.6837941920384765,600.0,1.0027207586390063
3,-10.0,50.0,0.0,1.0,6.791347260586917,600.0,0.7909226803705902
3,-7.5,52.5,0.0,1.0,6.907178885303438,600.0,0.5880893071251769
3,-5.0,55.0,1.0,1.0,7.031852160580456,600.0,0.3908887727240427
3,-2.5,57.5,1.0,1.0,7.161063781939447,600.0,0.20542907018655923
3,0.0,60.0,1.0,1.0,7.193688476458192,600.0,0.13798916530077668
3,2.5,57.5,1.0,1.0,7.0515590365976095,600.0,0.31217202746357625
3,5.0,55.0,0.0,1.0,6.899588773027062,600.0,0.5486119967156611
3,7.5,52.5,0.0,1.0,6.752865103073418,600.0,0.8143246713417324
3,10.0,50.0,0.0,1.0,6.612588568590581,600.0,1.1083046122332914
3,12.5,47.5,0.0,1.0,6.479027847759426,600.0,1.4329959066289284
3,15.0,45.0,0.0,1.0,6.352472496218979,600.0,1.7916247954142464
3,17.5,42.5,0.0,1.0,6.233366218395531,600.0,2.1878167007692184
3,20.0,40.0,0.0,1.0,6.12228543497622,600.0,2.6255973498043765
3,22.5,37.5,0.0,1.0,6.0193834491074085,600.0,3.1095248619697977
3,25.0,35.0,0.0,1.0,5.915835030376911,600.0,3.6448876504786645
3,27.5,32.5,0.0,0.0,5.514318634755909,561.0,nan
3,30.0,30.0,0.0,0.0,5.1372731644660234,524.0,nan
3,32.5,27.5,0.0,0.0,4.786800756119192,489.0,nan
3,35.0,25.0,0.0,0.0,4.476653271354735,458.0,nan
3,37.5,22.5,0.0,0.0,4.18964667012915,429.0,nan
3,40.0,20.0,0.0,0.0,3.9324084417894483,403.0,nan
3,42.5,17.5,0.0,0.0,3.688406426925212,378.0,nan
3,45.0,15.0,0.0,0.0,3.4645850216038525,355.0,nan
4,-45.0,15.0,0.0,0.0,2.9202207415364683,311.0,nan
4,-42.5,17.5,0.0,0.0,3.005586331244558,319.0,nan
4,-40.0,20.0,0.0,0.0,3.093202066142112,327.0,nan
4,-37.5,22.5,0.0,0.0,3.1903770035132766,336.0,nan
4,-35.0,25.0,0.0,0.0,3.304552445653826,347.0,nan
4,-32.5,27.5,0.0,0.0,3.4364132611081004,360.0,nan
4,-30.0,30.0,0.0,0.0,3.579971207305789,374.0,nan
4,-27.5,32.5,0.0,0.0,3.743252803105861,390.0,nan
4,-25.0,35.0,0.0,0.0,3.934645122848451,409.0,nan
4,-22.5,37.5,0.0,0.0,4.156191584654152,431.0,nan
4,-20.0,40.0,0.0,0.0,4.41069874400273,456.0,nan
4,-17.5,42.5,0.0,0.0,4.722731101792306,487.0,nan
4,-15.0,45.0,0.0,0.0,5.098319370299578,524.0,nan
4,-12.5,47.5,0.0,0.0,5.574712685775012,571.0,nan
4,-10.0,50.0,0.0,1.0,5.969118400011212,600.0,2.7133726315790776
4,-7.5,52.5,0.0,1.0,6.209174123592675,600.0,2.0841218662123433
4,-5.0,55.0,0.0,1.0,6.490930018946528,600.0,1.4371450125457514
4,-2.5,57.5,0.0,1.0,6.825357863679528,600.0,0.7707615953048256
4,0.0,60.0,1.0,1.0,7.193688476458192,600.0,0.13798916530077668
4,2.5,57.5,0.0,1.0,7.004875444807112,600.0,0.677298734380105
4,5.0,55.0,0.0,1.0,6.759599196724594,600.0,1.4365359396667174
4,7.5,52.5,0.0,1.0,6.493065207265317,600.0,2.2394603762548355
