arm,offset_deg,max_pitch_deg,success_rate,survival_rate,mean_reward,mean_steps_alive,mean_final_drift
0,-45.0,45.0,1.0,1.0,6.9467026479542255,600.0,0.19429820828438243
0,-42.5,42.5,1.0,1.0,6.9974578926339746,600.0,0.16835091519073675
0,-40.0,40.0,1.0,1.0,7.045096177607775,600.0,0.14429807354067198
0,-37.5,37.5,1.0,1.0,7.089436975307763,600.0,0.12181867070385272
0,-35.0,35.0,1.0,1.0,7.130297451280057,600.0,0.10160768086346453
0,-32.5,32.5,1.0,1.0,7.1680536568164825,600.0,0.08315152093956128
0,-30.0,30.0,1.0,1.0,7.2030716789886355,600.0,0.06654142436413148
0,-27.5,27.5,1.0,1.0,7.23369453754276,600.0,0.051956104507853366
0,-25.0,25.0,1.0,1.0,7.260757274925709,600.0,0.04071826541257886
0,-22.5,22.5,1.0,1.0,7.281542808748782,600.0,0.033168915869760944
0,-20.0,20.0,1.0,1.0,7.294948901049793,600.0,0.029771046740819006
0,-17.5,17.5,1.0,1.0,7.300086036324501,600.0,0.030438119898929035
0,-15.0,15.0,1.0,1.0,7.30129106529057,600.0,0.033418326919646725
0,-12.5,12.5,1.0,1.0,7.300586272031069,600.0,0.037844786208809135
0,-10.0,10.0,1.0,1.0,7.299909828230739,600.0,0.042341945048599304
0,-7.5,7.5,1.0,1.0,7.301447467878461,600.0,0.04526487302905262
0,-5.0,5.0,1.0,1.0,7.301918056793511,600.0,0.047702880392750106
0,-2.5,2.5,1.0,1.0,7.303446804173291,600.0,0.04786008541406543
0,0.0,0.0,1.0,1.0,7.304555786773562,600.0,0.04704616909926079
0,2.5,2.5,1.0,1.0,7.3039369117468596,600.0,0.04767216402907049
0,5.0,5.0,1.0,1.0,7.302227897569537,600.0,0.04773497026320456
0,7.5,7.5,1.0,1.0,7.300546173937619,600.0,0.04574952265727313
0,10.0,10.0,1.0,1.0,7.301184761337936,600.0,0.04246254522415578
0,12.5,12.5,1.0,1.0,7.301422007381916,600.0,0.037933753243247416
0,15.0,15.0,1.0,1.0,7.300987799651921,600.0,0.033853902795480076
0,17.5,17.5,1.0,1.0,7.30024934746325,600.0,0.03090348011666428
0,20.0,20.0,1.0,1.0,7.294416987337172,600.0,0.030224112762345334
0,22.5,22.5,1.0,1.0,7.281000877730548,600.0,0.03384175772777255
0,25.0,25.0,1.0,1.0,7.259758331812918,600.0,0.041390043638774014
0,27.5,27.5,1.0,1.0,7.233273269608617,600.0,0.052887311243002895
0,30.0,30.0,1.0,1.0,7.202643882483244,600.0,0.06724748692334329
0,32.5,32.5,1.0,1.0,7.167435929179192,600.0,0.08397866691750015
0,35.0,35.0,1.0,1.0,7.129949078895152,600.0,0.10240470579691477
0,37.5,37.5,1.0,1.0,7.089244042523205,600.0,0.12265332308154211
0,40.0,40.0,1.0,1.0,7.045108751393855,600.0,0.1447826356226648
0,42.5,42.5,1.0,1.0,6.9980059545487165,600.0,0.16887428223893605
0,45.0,45.0,1.0,1.0,6.947703565470874,600.0,0.19475512981185886
1,-45.0,45.0,1.0,1.0,7.234384626150131,600.0,0.08573288755732347
1,-42.5,42.5,1.0,1.0,7.248905757442117,600.0,0.07821070462303395
1,-40.0,40.0,1.0,1.0,7.2619442800059915,600.0,0.07151680497347507
1,-37.5,37.5,1.0,1.0,7.27335664909333,600.0,0.06451514097683936
1,-35.0,35.0,1.0,1.0,7.28292637411505,600.0,0.05869395853662179
1,-32.5,32.5,1.0,1.0,7.290810126811266,600.0,0.05390708421127823
1,-30.0,30.0,1.0,1.0,7.296948662959039,600.0,0.050117135007994924
1,-27.5,27.5,1.0,1.0,7.301603153347969,600.0,0.047269008991028566
1,-25.0,25.0,1.0,1.0,7.304945319890976,600.0,0.04530440471641273
1,-22.5,22.5,1.0,1.0,7.307080016471446,600.0,0.04410327734076374
1,-20.0,20.0,1.0,1.0,7.308302992023528,600.0,0.04352955939655771
1,-17.5,17.5,1.0,1.0,7.308937205933034,600.0,0.04342688199301522
1,-15.0,15.0,1.0,1.0,7.309415468946099,600.0,0.04365302358495628
1,-12.5,12.5,1.0,1.0,7.308570554479957,600.0,0.043963803705283945
1,-10.0,10.0,1.0,1.0,7.307865186594427,600.0,0.04441023527160796
1,-7.5,7.5,1.0,1.0,7.307360455393791,600.0,0.0448666042437747
1,-5.0,5.0,1.0,1.0,7.30662255268544,600.0,0.0455311382861963
1,-2.5,2.5,1.0,1.0,7.305093775503337,600.0,0.04648797771864134
1,0.0,0.0,1.0,1.0,7.304555786773562,600.0,0.04704616909926079
1,2.5,2.5,1.0,1.0,7.305563053116202,600.0,0.046347633159444804
1,5.0,5.0,1.0,1.0,7.307404667139053,600.0,0.04535743173029849
1,7.5,7.5,1.0,1.0,7.30829559918493,600.0,0.04469293552345953
1,10.0,10.0,1.0,1.0,7.309572049416602,600.0,0.04418355015539578
1,12.5,12.5,1.0,1.0,7.309784237295389,600.0,0.043770078507660994
1,15.0,15.0,1.0,1.0,7.310919709503651,600.0,0.043370212083552614
1,17.5,17.5,1.0,1.0,7.311576024629176,600.0,0.04322367802119624
1,20.0,20.0,1.0,1.0,7.311015262268484,600.0,0.04351334300583837
1,22.5,22.5,1.0,1.0,7.309622125700116,600.0,0.04422503775635227
1,25.0,25.0,1.0,1.0,7.307381912134588,600.0,0.045611114263927575
1,27.5,27.5,1.0,1.0,7.304031088016927,600.0,0.04779478831824679
1,30.0,30.0,1.0,1.0,7.299141581170261,600.0,0.050890676143198664
1,32.5,32.5,1.0,1.0,7.292821096256375,600.0,0.05493817925132753
1,35.0,35.0,1.0,1.0,7.284599293023348,600.0,0.06001079020190396
1,37.5,37.5,1.0,1.0,7.274709696881473,600.0,0.0662094788334115
1,40.0,40.0,1.0,1.0,7.2630012491717935,600.0,0.07269384684792114
1,42.5,42.5,1.0,1.0,7.2496793726459146,600.0,0.07948642881382932
1,45.0,45.0,1.0,1.0,7.235038754530251,600.0,0.08728098769398097
