sigma_deg,draw,min_gap_deg,success_rate,survival_rate,mean_reward,mean_steps_alive,mean_final_drift
12.5,7,35.82,1.0,1.0,6.656404291279614,600.0,0.4707374751124271
15.0,0,42.09,1.0,1.0,6.944079011678696,600.0,0.30461516695866103
15.0,1,44.5,1.0,1.0,7.294802164658904,600.0,0.06286863305438779
15.0,2,11.37,1.0,1.0,7.063598334789276,600.0,0.15517325990272537
15.0,3,25.79,1.0,1.0,7.026518729515374,600.0,0.17978566371734056
15.0,4,41.88,1.0,1.0,7.095479087904096,600.0,0.1796809487862306
15.0,5,40.17,1.0,1.0,6.8807723661884665,600.0,0.25936363262687573
15.0,6,33.08,1.0,1.0,6.999038218520582,600.0,0.25725288235146276
15.0,7,30.98,0.0,1.0,6.510089844465256,600.0,0.5492060789908146
17.5,0,39.11,1.0,1.0,6.875633426010609,600.0,0.35121373796624533
17.5,1,41.91,1.0,1.0,7.285859113559127,600.0,0.07279136218716294
17.5,2,3.26,1.0,1.0,7.033218210563064,600.0,0.17231534409995228
17.5,3,20.09,1.0,1.0,6.937118610367179,600.0,0.22845943930619397
17.5,4,38.86,1.0,1.0,7.04811498709023,600.0,0.21154550816028894
17.5,5,36.86,1.0,1.0,6.786993388086557,600.0,0.3119103766364639
17.5,6,28.59,1.0,1.0,6.917557073757052,600.0,0.30573208284562886
17.5,7,26.14,0.0,1.0,6.382072763517499,600.0,0.6200803667576247
20.0,0,36.12,1.0,1.0,6.8077890034765005,600.0,0.39490820133422644
20.0,1,39.33,1.0,1.0,7.2783979354426265,600.0,0.080661327710655
20.0,2,4.84,1.0,1.0,7.005208310671151,600.0,0.1865954208825929
20.0,3,14.39,1.0,1.0,6.857681949622929,600.0,0.2755024604896369
20.0,4,35.84,1.0,1.0,6.997123705223203,600.0,0.24475133384267195
20.0,5,33.56,1.0,1.0,6.69348219037056,600.0,0.36472417752399017
20.0,6,24.11,1.0,1.0,6.824795138090849,600.0,0.35870160775153687
20.0,7,21.31,0.0,1.0,6.274888563901186,600.0,0.6879429394867612
22.5,0,33.14,1.0,1.0,6.738777324557304,600.0,0.43945974496304613
22.5,1,36.74,1.0,1.0,7.256259724497795,600.0,0.0839958293867645
22.5,2,12.95,1.0,1.0,6.988022554665804,600.0,0.19580904714103314
22.5,3,8.69,1.0,1.0,6.72817312553525,600.0,0.34750882523909216
22.5,4,32.83,1.0,1.0,6.940971033647656,600.0,0.2801963407621256
22.5,5,30.25,1.0,1.0,6.594968766905367,600.0,0.41997891804264703
22.5,6,19.62,1.0,1.0,6.718930979259312,600.0,0.41700142987910727
22.5,7,16.47,0.0,1.0,6.180759726092219,600.0,0.7534694476362482
25.0,0,30.15,1.0,1.0,6.667951093055308,600.0,0.4873227983593968
25.0,1,34.16,1.0,1.0,7.235503954812884,600.0,0.08968065800014993
25.0,2,21.05,1.0,1.0,6.987114384770393,600.0,0.19629865004835992
25.0,3,2.99,1.0,1.0,6.5556902047246695,600.0,0.442248675306168
25.0,4,29.81,1.0,1.0,6.886804225854576,600.0,0.3142636183403646
25.0,5,26.95,1.0,1.0,6.492539493367076,600.0,0.47949863524271413
25.0,6,15.13,1.0,1.0,6.598778576590121,600.0,0.48233325924384685
25.0,7,11.63,0.0,1.0,6.095756852068007,600.0,0.8192151551726625
27.5,0,27.17,0.0,1.0,6.595697354525328,600.0,0.5360667500480671
27.5,1,31.58,1.0,1.0,7.227306843735278,600.0,0.09747345706443018
