arm,offset_deg,min_gap_deg,success_rate,survival_rate,mean_reward,mean_steps_alive,mean_final_drift
0,-45.0,15.0,0.0,1.0,6.187902548350394,600.0,0.7346839382488956
0,-42.5,17.5,0.0,1.0,6.275619227439165,600.0,0.688195437143319
0,-40.0,20.0,0.0,1.0,6.3516593193635345,600.0,0.6431563414157242
0,-37.5,22.5,0.0,1.0,6.425380900502205,600.0,0.5991304401099407
0,-35.0,25.0,0.0,1.0,6.497495790943503,600.0,0.555984626072793
0,-32.5,27.5,0.0,1.0,6.568430053070188,600.0,0.5136235307821733
0,-30.0,30.0,1.0,1.0,6.637946133501828,600.0,0.4719800316110039
0,-27.5,32.5,1.0,1.0,6.70725432690233,600.0,0.4310670691672244
0,-25.0,35.0,1.0,1.0,6.7733947187662125,600.0,0.39078092034302825
0,-22.5,37.5,1.0,1.0,6.837148253805935,600.0,0.351838553914295
0,-20.0,40.0,1.0,1.0,6.898720145225525,600.0,0.3153783579739652
0,-17.5,42.5,1.0,1.0,6.958106745034456,600.0,0.2801063769849234
0,-15.0,45.0,1.0,1.0,7.017116507515311,600.0,0.24138860602955484
0,-12.5,47.5,1.0,1.0,7.075170117430389,600.0,0.2046011636694263
0,-10.0,50.0,1.0,1.0,7.130221521481872,600.0,0.1679001966694047
0,-7.5,52.5,1.0,1.0,7.18087447155267,600.0,0.1299959204365789
0,-5.0,55.0,1.0,1.0,7.232780470512807,600.0,0.09826205020738178
0,-2.5,57.5,1.0,1.0,7.284615530632436,600.0,0.0665381934920932
0,0.0,60.0,1.0,1.0,7.304555786773562,600.0,0.04704616909926079
0,2.5,57.5,1.0,1.0,7.2676178980618715,600.0,0.07014094660700239
0,5.0,55.0,1.0,1.0,7.229303422383964,600.0,0.10093454693050266
0,7.5,52.5,1.0,1.0,7.185639792121947,600.0,0.1361025556008307
0,10.0,50.0,1.0,1.0,7.139945412054658,600.0,0.1728962950718829
0,12.5,47.5,1.0,1.0,7.089752363972366,600.0,0.21261565366439059
0,15.0,45.0,1.0,1.0,7.03881318308413,600.0,0.25384633711328647
0,17.5,42.5,1.0,1.0,6.992022789083421,600.0,0.2930936448899662
0,20.0,40.0,1.0,1.0,6.946186411194503,600.0,0.33140660644757264
0,22.5,37.5,1.0,1.0,6.898234861902893,600.0,0.3702529858359928
0,25.0,35.0,1.0,1.0,6.84868498519063,600.0,0.4096783876607863
0,27.5,32.5,1.0,1.0,6.797463906928897,600.0,0.4496218710386761
0,30.0,30.0,1.0,1.0,6.744986895471811,600.0,0.4900864623145336
0,32.5,27.5,0.0,1.0,6.690083337016404,600.0,0.5310323811275159
0,35.0,25.0,0.0,1.0,6.634813284501433,600.0,0.5726154743141093
0,37.5,22.5,0.0,1.0,6.5793207716196775,600.0,0.6140942714794109
0,40.0,20.0,0.0,1.0,6.525039596483111,600.0,0.6530896415639563
0,42.5,17.5,0.0,1.0,6.47255627065897,600.0,0.689280802202848
0,45.0,15.0,0.0,1.0,6.418774185702205,600.0,0.7267475958728249
1,-45.0,15.0,1.0,1.0,7.139459354802966,600.0,0.2224606214610982
1,-42.5,17.5,1.0,1.0,7.155736569315195,600.0,0.21010311833500014
1,-40.0,20.0,1.0,1.0,7.170494493097067,600.0,0.19781048972097845
1,-37.5,22.5,1.0,1.0,7.18527917843312,600.0,0.1871187517634343
1,-35.0,25.0,1.0,1.0,7.199852225370705,600.0,0.17641031289413828
1,-32.5,27.5,1.0,1.0,7.211077691055834,600.0,0.16827455315242365
1,-30.0,30.0,1.0,1.0,7.225802356377244,600.0,0.15821740096448186
1,-27.5,32.5,1.0,1.0,7.238948181271553,600.0,0.14871538422403185
1,-25.0,35.0,1.0,1.0,7.246468160301447,600.0,0.1397506793318739
1,-22.5,37.5,1.0,1.0,7.253804431296885,600.0,0.13080993000015465
1,-20.0,40.0,1.0,1.0,7.261504350230098,600.0,0.12047294967115443
1,-17.5,42.5,1.0,1.0,7.26796789560467,600.0,0.10963563398660413
1,-15.0,45.0,1.0,1.0,7.276033716276288,600.0,0.10066609684559731
1,-12.5,47.5,1.0,1.0,7.284705577418208,600.0,0.09118972972713787
1,-10.0,50.0,1.0,1.0,7.292605377733707,600.0,0.08146316128709602
1,-7.5,52.5,1.0,1.0,7.299807916395366,600.0,0.0722147276451679
1,-5.0,55.0,1.0,1.0,7.304119628854096,600.0,0.06225787622549412
1,-2.5,57.5,1.0,1.0,7.3063002629205585,600.0,0.05331213618515308
1,0.0,60.0,1.0,1.0,7.304555786773562,600.0,0.04704616909926079
1,2.5,57.5,1.0,1.0,7.292507025413215,600.0,0.04631492049942977
1,5.0,55.0,1.0,1.0,7.286674180068076,600.0,0.04437306450500062
1,7.5,52.5,1.0,1.0,7.284190162084997,600.0,0.04290264001777699
1,10.0,50.0,1.0,1.0,7.283374789170921,600.0,0.04333363130506038
1,12.5,47.5,1.0,1.0,7.274809330701828,600.0,0.04620284952838836
1,15.0,45.0,1.0,1.0,7.2618684051558375,600.0,0.05048899445679122
1,17.5,42.5,1.0,1.0,7.243285343050957,600.0,0.057282820618753456
1,20.0,40.0,1.0,1.0,7.223092542029917,600.0,0.06380919080527864
1,22.5,37.5,1.0,1.0,7.206645504571497,600.0,0.07052377951056843
1,25.0,35.0,1.0,1.0,7.1886936612427235,600.0,0.07798797589114945
1,27.5,32.5,1.0,1.0,7.169241120107472,600.0,0.08579247172339817
1,30.0,30.0,1.0,1.0,7.148744793608785,600.0,0.09384021237155947
1,32.5,27.5,1.0,1.0,7.1278446316719055,600.0,0.1020407972526809
1,35.0,25.0,1.0,1.0,7.10888418648392,600.0,0.11138064746981664
1,37.5,22.5,1.0,1.0,7.094341321848333,600.0,0.12110814878342355
1,40.0,20.0,1.0,1.0,7.07898336648941,600.0,0.13105764932051628
1,42.5,17.5,1.0,1.0,7.06021744851023,600.0,0.14130571344635526
1,45.0,15.0,1.0,1.0,7.079186259768903,600.0,0.1488778221148082
