arm,offset_deg,max_pitch_deg,success_rate,survival_rate,mean_reward,mean_steps_alive,mean_final_drift
4,-45.0,45.0,0.0,1.0,6.235158961266279,600.0,2.36552518106498
4,-42.5,42.5,0.0,1.0,6.361279122531414,600.0,2.0923093205301515
4,-40.0,40.0,0.0,1.0,6.4821847518906,600.0,1.8358737401906415
4,-37.5,37.5,0.0,1.0,6.5963432574644685,600.0,1.596030113982594
4,-35.0,35.0,0.0,1.0,6.701564538292587,600.0,1.3726105274054459
4,-32.5,32.5,0.0,1.0,6.795114089734852,600.0,1.1654670357509194
4,-30.0,30.0,0.0,1.0,6.873880760744214,600.0,0.9744762641767012
4,-27.5,27.5,0.0,1.0,6.940025712363422,600.0,0.7995350418482016
4,-25.0,25.0,0.0,1.0,7.004086587578058,600.0,0.6405843257379638
4,-22.5,22.5,1.0,1.0,7.065504620783031,600.0,0.4976335620036381
4,-20.0,20.0,1.0,1.0,7.123264943249524,600.0,0.370841342287202
4,-17.5,17.5,1.0,1.0,7.176359715871513,600.0,0.260720479585136
4,-15.0,15.0,1.0,1.0,7.2236647848039865,600.0,0.16882651727622291
4,-12.5,12.5,1.0,1.0,7.263072608970106,600.0,0.1005080143390267
4,-10.0,10.0,1.0,1.0,7.273759686388075,600.0,0.07227240880958476
4,-7.5,7.5,1.0,1.0,7.243071375414729,600.0,0.08794828494071624
4,-5.0,5.0,1.0,1.0,7.215928711928427,600.0,0.11356214591375094
4,-2.5,2.5,1.0,1.0,7.199263844639063,600.0,0.13167029499914845
4,0.0,0.0,1.0,1.0,7.193688476458192,600.0,0.13798916530077668
4,2.5,2.5,1.0,1.0,7.199263810180128,600.0,0.13167014640833336
4,5.0,5.0,1.0,1.0,7.21592827886343,600.0,0.11356255521436627
4,7.5,7.5,1.0,1.0,7.243071883916855,600.0,0.08794872577956403
4,10.0,10.0,1.0,1.0,7.273761586286128,600.0,0.07227133740009299
4,12.5,12.5,1.0,1.0,7.263075485825539,600.0,0.10050566350822959
4,15.0,15.0,1.0,1.0,7.223666722886264,600.0,0.1688220047238338
4,17.5,17.5,1.0,1.0,7.176361436024308,600.0,0.26071505627624264
4,20.0,20.0,1.0,1.0,7.123262188397348,600.0,0.37083331352424453
4,22.5,22.5,1.0,1.0,7.065502790734172,600.0,0.4976221548006027
4,25.0,25.0,0.0,1.0,7.004081791266799,600.0,0.6405697419638424
4,27.5,27.5,0.0,1.0,6.940013819374144,600.0,0.7995177401320125
4,30.0,30.0,0.0,1.0,6.873865027911961,600.0,0.9744548092067058
4,32.5,32.5,0.0,1.0,6.795093652792275,600.0,1.165440433540905
4,35.0,35.0,0.0,1.0,6.701539509929717,600.0,1.372577133323598
4,37.5,37.5,0.0,1.0,6.596309108659625,600.0,1.5959893879034817
4,40.0,40.0,0.0,1.0,6.4821427734568715,600.0,1.835826109720047
4,42.5,42.5,0.0,1.0,6.361227305606008,600.0,2.092251136510563
4,45.0,45.0,0.0,1.0,6.235092685557902,600.0,2.3654589266120802
5,-45.0,45.0,0.0,1.0,6.1539367735385895,600.0,2.3510981332134024
5,-42.5,42.5,0.0,1.0,6.256270352751017,600.0,2.072174080407507
5,-40.0,40.0,0.0,1.0,6.356081932783127,600.0,1.8170254168492905
5,-37.5,37.5,0.0,1.0,6.452891784720123,600.0,1.5839345715713506
5,-35.0,35.0,0.0,1.0,6.546215710230172,600.0,1.371422218718623
5,-32.5,32.5,0.0,1.0,6.635549579747021,600.0,1.1782193307739837
5,-30.0,30.0,0.0,1.0,6.72037198767066,600.0,1.003255364486373
5,-27.5,27.5,0.0,1.0,6.800140954554081,600.0,0.8456351331322002
5,-25.0,25.0,0.0,1.0,6.874284541234374,600.0,0.7046515180141705
5,-22.5,22.5,0.0,1.0,6.942194831557572,600.0,0.579769426248993
5,-20.0,20.0,1.0,1.0,7.003224148415029,600.0,0.47065238530643627
5,-17.5,17.5,1.0,1.0,7.056639168411493,600.0,0.3771871385041085
5,-15.0,15.0,1.0,1.0,7.1016239477321506,600.0,0.2994978966016732
5,-12.5,12.5,1.0,1.0,7.13737563136965,600.0,0.2379219572355909
5,-10.0,10.0,1.0,1.0,7.1634035827592015,600.0,0.19270518129500433
5,-7.5,7.5,1.0,1.0,7.1801061518490314,600.0,0.16322525297640708
5,-5.0,5.0,1.0,1.0,7.188992948271334,600.0,0.14699429941296913
